square_feet,price_in_thousands
2610.169491525424,974.6376811594203
2788.1355932203387,974.6376811594203
2794.491525423729,974.6376811594203
3004.237288135593,974.6376811594203
2610.169491525424,972.8260869565217
2788.1355932203387,972.8260869565217
2794.491525423729,972.8260869565217
3004.237288135593,972.8260869565217
2610.169491525424,971.0144927536231
2610.169491525424,969.2028985507246
2616.5254237288136,969.2028985507246
2622.8813559322034,969.2028985507246
2629.237288135593,969.2028985507246
2635.593220338983,969.2028985507246
2661.0169491525426,969.2028985507246
2667.372881355932,969.2028985507246
2673.728813559322,969.2028985507246
2680.084745762712,969.2028985507246
2699.1525423728813,969.2028985507246
2705.508474576271,969.2028985507246
2730.9322033898306,969.2028985507246
2750.0,969.2028985507246
2756.35593220339,969.2028985507246
2762.7118644067796,969.2028985507246
2769.0677966101694,969.2028985507246
2775.423728813559,969.2028985507246
2788.1355932203387,969.2028985507246
2794.491525423729,969.2028985507246
2807.2033898305085,969.2028985507246
2813.5593220338983,969.2028985507246
2819.915254237288,969.2028985507246
2826.271186440678,969.2028985507246
2832.627118644068,969.2028985507246
2838.9830508474574,969.2028985507246
2858.050847457627,969.2028985507246
2864.406779661017,969.2028985507246
2870.762711864407,969.2028985507246
2877.1186440677966,969.2028985507246
2883.4745762711864,969.2028985507246
2889.830508474576,969.2028985507246
2927.9661016949153,969.2028985507246
2934.322033898305,969.2028985507246
2940.677966101695,969.2028985507246
2947.0338983050847,969.2028985507246
2953.389830508475,969.2028985507246
2959.7457627118642,969.2028985507246
2972.4576271186443,969.2028985507246
2978.8135593220336,969.2028985507246
2985.169491525424,969.2028985507246
2991.5254237288136,969.2028985507246
3004.237288135593,969.2028985507246
3023.305084745763,969.2028985507246
3029.6610169491523,969.2028985507246
3036.0169491525426,969.2028985507246
3042.3728813559323,969.2028985507246
3048.7288135593217,969.2028985507246
3067.7966101694915,969.2028985507246
3074.1525423728813,969.2028985507246
3080.508474576271,969.2028985507246
3086.864406779661,969.2028985507246
3093.220338983051,969.2028985507246
3112.2881355932204,969.2028985507246
3118.64406779661,969.2028985507246
3125.0,969.2028985507246
3131.35593220339,969.2028985507246
3137.7118644067796,969.2028985507246
